count,year,count_m,count_f,score_m,score_f,prop_f,diff_mf,diff_fm
101,1000,93,8,20.45619505376344,22.31725175,0.079207921,-1.861056696,1.8610566962365596
11,1001,10,1,24.7280666,28.229389,0.090909091,-3.5013224,3.501322400000003
14,1002,11,3,21.141660272727275,21.245177666666667,0.21428571428571427,-0.103517394,0.10351739393939141
12,1003,9,3,20.595403666666666,24.802321000000003,0.25,-4.206917333,4.206917333333337
10,1004,10,,23.6097048,,,,
25,1005,21,4,23.242985428571426,20.951942,0.16,2.2910434285714274,-2.291043429
14,1006,12,2,21.679410666666666,15.890225000000001,0.14285714285714285,5.789185666666665,-5.789185667
10,1007,10,,24.2927349,,,,
15,1008,14,1,22.615296999999998,25.595718,0.066666667,-2.980421,2.9804210000000033
13,1009,12,1,24.912272333333334,26.009344,0.076923077,-1.097071667,1.0970716666666647
54,1010,50,4,21.39473842,22.801043749999998,0.074074074,-1.40630533,1.4063053299999986
9,1011,9,,22.28426922222222,,,,
17,1012,12,5,24.788109000000002,22.237339600000002,0.29411764705882354,2.5507694,-2.5507694
10,1013,7,3,24.363190857142857,24.356459,0.3,0.006731857,-0.006731857
9,1014,9,,20.869337777777776,,,,
25,1015,22,3,20.725618954545453,19.760127999999998,0.12,0.9654909545454551,-0.965490955
26,1016,24,2,23.644177374999998,21.731512000000002,0.076923077,1.912665374999996,-1.912665375
14,1017,12,2,22.17589825,22.596033499999997,0.14285714285714285,-0.42013525,0.42013524999999774
20,1018,17,3,23.05156817647059,23.073033999999996,0.15,-0.021465824,0.021465823529407402
16,1019,16,,21.705952625000002,,,,
67,1020,58,9,21.219006258620688,23.045146666666668,0.13432835820895522,-1.826140408,1.8261404080459798
12,1021,10,2,21.6314321,24.2118845,0.16666666666666666,-2.5804524,2.5804523999999986
7,1022,6,1,23.28659383333333,26.143452,0.14285714285714285,-2.856858167,2.856858166666669
6,1023,5,1,23.6179734,26.164223,0.16666666666666666,-2.5462496,2.5462495999999994
17,1024,15,2,22.471297333333332,22.143818000000003,0.11764705882352941,0.32747933333332924,-0.327479333
37,1025,27,10,20.81293974074074,23.3917965,0.2702702702702703,-2.578856759,2.578856759
7,1026,5,2,20.2372498,20.3403365,0.2857142857142857,-0.1030867,0.10308669999999864
14,1027,10,4,21.2927469,19.645142749999998,0.2857142857142857,1.647604150000003,-1.64760415
13,1028,13,,21.64085784615385,,,,
13,1029,12,1,24.51852825,21.224024,0.076923077,3.2945042499999992,-3.29450425
62,1030,58,4,21.003390448275862,19.97667275,0.064516129,1.0267176982758635,-1.026717698
14,1031,12,2,22.884368499999997,25.4660805,0.14285714285714285,-2.581712,2.581712000000003
